SM Group,SM Title,SM Description,SM Type,Line Color,Fill Color,SM Latitude,SM Longitude,SM Coordinates,smapsID,SM Group 0,SM Group 1
Standard farver,Overlay,,Line,#858585,,55.362242438,11.521258257,"55.362242438,11.521258257 55.393452504,12.14747896","smda557a81",Info,Standard farver
Standard farver,Overlay,,Line,#00B016,,55.449568592,11.543230913,"55.449568592,11.543230913 55.474483488,12.136492632","sm8ce9eb43",Info,Standard farver
Standard farver,Overlay,,Line,#FFB124,,55.524266068,11.510271929,"55.524266068,11.510271929 55.55534823,12.103533648","sm6b41215e",Info,Standard farver
Standard farver,Overlay,,Line,#1F49FF,,55.617438869,11.521258257,"55.617438869,11.521258257 55.636046912,12.125506304","sm9198698f",Info,Standard farver
Standard farver,Overlay,,Line,#EB0920,,55.698009934,11.56520357,"55.698009934,11.56520357 55.716579713,12.09254732","smbda1e3e9",Info,Standard farver
By navne,Frederikshavn,,Marker,#121212,#FFFFFF,57.44197525,10.53250507,"57.44197525,10.53250507","smce049a1f",Info,By navne
By navne,Holstebro,,Marker,#121212,#FFFFFF,56.371316271,8.618137416,"56.371316271,8.618137416","smd24583b1",Info,By navne
By navne,Aalborg,,Marker,#333333,#FFFFFF,57.04556755,9.91315075,"57.04556755,9.91315075","sm4f0c4d5e",Info,By navne
By navne,Holstebro,,Marker,#0A0A0A,#FFFFFF,56.36332981,8.61333087,"56.36332981,8.61333087","smfdf5fe51",Info,By navne
By navne,Struer,,Marker,#0A0A0A,#FFFFFF,56.48920737,8.59582146,"56.48920737,8.59582146","sm0ee26e6c",Info,By navne
By navne,Lemvig,,Marker,#0A0A0A,#FFFFFF,56.55984233,8.29541394,"56.55984233,8.29541394","sm4699f09d",Info,By navne
By navne,Ringkøbing,,Marker,#0A0A0A,#FFFFFF,56.0900253,8.25833514,"56.0900253,8.25833514","sm6322feea",Info,By navne
By navne,Herning,,Marker,#0A0A0A,#FFFFFF,56.13787962,8.97519299,"56.13787962,8.97519299","smed82ca46",Info,By navne
By navne,Viborg,,Marker,#0A0A0A,#FFFFFF,56.44767399,9.41052627,"56.44767399,9.41052627","sm98ea8aab",Info,By navne
By navne,Silkeborg,,Marker,#0A0A0A,#FFFFFF,56.169622,9.55060201,"56.169622,9.55060201","sm9216f47c",Info,By navne
By navne,Skive,,Marker,#0A0A0A,#FFFFFF,56.57346183,9.04797752,"56.57346183,9.04797752","smf95d28e3",Info,By navne
By navne,Thisted,,Marker,#0A0A0A,#FFFFFF,56.97378327,8.70465475,"56.97378327,8.70465475","smfe2b59d0",Info,By navne
By navne,Mors,,Marker,#0A0A0A,#FFFFFF,56.80875452,8.80078502,"56.80875452,8.80078502","sm6ccdfca9",Info,By navne
By navne,Karup ,,Marker,#0A0A0A,#FFFFFF,56.30471092,9.17294696,"56.30471092,9.17294696","sm2e6f8ebc",Info,By navne
By navne,Hurup,"<p><span style=""font-family:&quot;times new roman&quot;;""><span class=""ql-cursor"">﻿﻿</span></span></p>",Marker,#5C5C5C,#FFFFFF,56.7508221,8.41214372,"56.7508221,8.41214372","sm8f97b4f4",Info,By navne
By navne,Skjern,,Marker,#0A0A0A,#FFFFFF,55.95956035,8.48355489,"55.95956035,8.48355489","smb76490bc",Info,By navne
By navne,Brande,,Marker,#0A0A0A,#FFFFFF,55.970321157,9.098102633,"55.970321157,9.098102633","smb53f9490",Info,By navne
By navne,Billund,,Marker,#0A0A0A,#FFFFFF,55.744874092,9.146854458,"55.744874092,9.146854458","sm5e39c649",Info,By navne
By navne,Varde,,Marker,#0A0A0A,#FFFFFF,55.62681396,8.48492818,"55.62681396,8.48492818","sm2a0a30b8",Info,By navne
By navne,Vinderup,,Marker,#0A0A0A,#FFFFFF,56.47650675,8.78370456,"56.47650675,8.78370456","sm2e5a68f5",Info,By navne
